iter	RMSE
0	0.6588140203
1	0.6290396612
2	0.6008864596
3	0.5743866395
4	0.5488938261
5	0.5244324995
6	0.5014498129
7	0.4796858475
8	0.4588305006
9	0.4391460675
10	0.4206044613
11	0.402748461
12	0.3857314739
13	0.369795821
14	0.3545937006
15	0.3401672486
16	0.3263480447
17	0.3132681438
18	0.301016481
19	0.2892846215
20	0.2781991962
21	0.2677418778
22	0.2579038805
23	0.2485815822
24	0.2396972132
25	0.2313790568
26	0.2235833369
27	0.2161238104
28	0.2091197968
29	0.2024725029
30	0.196216241
31	0.1904162498
32	0.184980683
33	0.1799384379
34	0.1751201382
35	0.1705978455
36	0.1663820685
37	0.1625154082
38	0.158877258
39	0.1554885104
40	0.1523335424
41	0.1494798974
42	0.1467435541
43	0.1442405709
44	0.1419300559
45	0.1396942151
46	0.1376243333
47	0.1357995285
48	0.1340629242
49	0.1324557111
50	0.1309927803
51	0.1296327984
52	0.1284129055
53	0.127197534
54	0.1260153355
55	0.1250206744
56	0.124113382
57	0.1232036499
58	0.122443677
59	0.1216359134
60	0.1209870813
61	0.1203795885
62	0.1197662853
63	0.119076497
64	0.1184535639
65	0.117963562
66	0.1174875028
67	0.1171248538
68	0.1166787734
69	0.1163809043
70	0.1160231225
71	0.1156646894
72	0.1153412487
73	0.1150815627
74	0.1148608331
75	0.1145798234
76	0.1142971748
77	0.1141024462
78	0.1138544246
79	0.1137026024
80	0.1135008161
81	0.1132905913
82	0.1131524969
83	0.1129938693
84	0.1128612695
85	0.112659458
86	0.1125596691
87	0.112476671
88	0.1123452398
89	0.1122533366
90	0.1121721287
91	0.111961543
92	0.11188275
93	0.1117707932
94	0.1116917259
95	0.1116128222
96	0.1115129912
97	0.1114524736
98	0.1113281884
99	0.1112507974
100	0.1111886833
101	0.1111018636
102	0.111045465
103	0.1109702473
104	0.1109253891
105	0.1108650212
106	0.1108110605
107	0.1107592773
108	0.1106497429
109	0.1106096913
110	0.1105571014
111	0.1105078944
112	0.1104559328
113	0.1104042702
114	0.1102327484
115	0.1101634411
116	0.1100897773
117	0.1100336191
118	0.1099862572
119	0.1099340511
120	0.1098555796
121	0.1096399627
122	0.1095810765
123	0.1095467046
124	0.1094964484
125	0.1094352945
126	0.1094030547
127	0.1092589881
128	0.1091748423
129	0.109094538
130	0.1090241771
131	0.1089753677
132	0.1089352581
133	0.1089199047
134	0.1088728961
135	0.1087862314
136	0.1086842805
137	0.1086331607
138	0.1085977869
139	0.1085458455
140	0.1085017678
141	0.1084710343
142	0.1084473963
143	0.1084046636
144	0.1083730394
145	0.1083269966
146	0.1083029664
147	0.1082740062
148	0.1082420289
149	0.1082065581
150	0.1081754234
151	0.1081751077
152	0.1081530234
153	0.1080873593
154	0.1080563223
155	0.1080159682
156	0.1079925766
157	0.1079040788
158	0.1078612596
159	0.107813197
160	0.1077614765
161	0.1076808117
162	0.107586437
163	0.1075224236
164	0.1074716664
165	0.107285315
166	0.1072548789
167	0.1071699568
168	0.1071374101
169	0.1071116926
170	0.1070613446
171	0.1070346051
172	0.1070154024
173	0.106978545
174	0.1069532319
175	0.1069532271
176	0.1068972379
177	0.1068503684
178	0.1068002628
179	0.1067757153
180	0.1067346381
181	0.1066872155
182	0.1063977998
183	0.1063712109
184	0.1060882689
185	0.1060332221
186	0.1060189845
187	0.1059975119
188	0.1059739294
189	0.1059464888
190	0.1059173008
191	0.1058701197
192	0.1058361288
193	0.1058108669
194	0.1058108438
195	0.1057827122
196	0.1057489041
197	0.1057159829
198	0.105608331
199	0.1055619857
200	0.1055367417
201	0.1055232615
202	0.1054842656
203	0.1054620673
204	0.1054227754
205	0.1054112176
206	0.1053897485
207	0.1053787627
208	0.1053425009
209	0.1052179919
210	0.1051861746
211	0.105150687
212	0.1051407269
213	0.1051091638
214	0.1050732236
215	0.1050367013
216	0.1050083346
217	0.1049852174
218	0.1049526043
219	0.1049214505
220	0.104867008
221	0.1048374351
222	0.104776087
223	0.10475528
224	0.1047328924
225	0.1046549689
226	0.1046349406
227	0.1046005129
228	0.1045846375
229	0.1045568408
230	0.1045568369
231	0.1045542325
232	0.104535419
233	0.1045107915
234	0.1044987807
235	0.1044712334
236	0.1044712293
237	0.1044362613
238	0.1044140009
239	0.1044139924
240	0.1043739962
241	0.1043590042
242	0.1043394236
243	0.1043261068
244	0.104290884
245	0.1042489283
246	0.1042369231
247	0.1042036932
248	0.1041863938
249	0.1041506976
250	0.1041233862
251	0.1040924469
252	0.1040553402
253	0.104008398
254	0.1038038588
255	0.1037757626
256	0.1037537215
257	0.1037334559
258	0.1037053138
259	0.1036971597
260	0.1036833512
261	0.1036715181
262	0.1036317098
263	0.1036246558
264	0.1036078754
265	0.1035925139
266	0.10356321
267	0.1035471213
268	0.103537618
269	0.1035266349
270	0.1035197741
271	0.1035069321
272	0.1034844746
273	0.1034489411
274	0.1033907266
275	0.1032578022
276	0.1032333807
277	0.1032217421
278	0.1031896675
279	0.1031658887
280	0.1031586744
281	0.103131286
282	0.1031122085
283	0.1030856756
284	0.1030664865
285	0.1030620616
286	0.1030375106
287	0.103022268
288	0.1030084979
289	0.1029812707
290	0.1029701087
291	0.102932734
292	0.102901381
293	0.1028852895
294	0.1028801208
295	0.10285206
296	0.1028300567
297	0.1027933301
298	0.1027730179
299	0.1027369071
300	0.1027046521
301	0.1026763579
302	0.1026603522
303	0.1026421327
304	0.1026370985
305	0.1025922092
306	0.1025755814
307	0.1025461558
308	0.1025186352
309	0.1024980831
310	0.102470335
311	0.1024560901
312	0.1024372406
313	0.1024325634
314	0.1024160646
315	0.1023986099
316	0.1023869906
317	0.102380591
318	0.1023552122
319	0.1023369384
320	0.1023223888
321	0.1020472861
322	0.1020308816
323	0.1020057786
324	0.1019999825
325	0.1019815855
326	0.1019659684
327	0.1019519869
328	0.1019351249
329	0.1019096826
330	0.1018868745
331	0.1017772792
332	0.1017662025
333	0.1017386297
334	0.1017277375
335	0.1017082078
336	0.1016933742
337	0.1016861631
338	0.1016552566
339	0.1016515625
340	0.1016252065
341	0.1016055166
342	0.1015885978
343	0.1015718345
344	0.1015602391
345	0.1014609579
346	0.1014560492
347	0.1014382232
348	0.1014275358
349	0.1014086792
350	0.1013870625
351	0.1013834283
352	0.1013677512
353	0.1013427226
354	0.1013256688
355	0.1013090453
356	0.1012958265
357	0.1012867002
358	0.1012623249
359	0.1012518365
360	0.1012407387
361	0.1012320035
362	0.1012303172
363	0.1011963096
364	0.1011749827
365	0.1011726284
366	0.1009419976
367	0.1009307119
368	0.1009143947
369	0.1008904057
370	0.1008837611
371	0.1008713692
372	0.1008436437
373	0.1008275047
374	0.1008160495
375	0.1008158541
376	0.1007989954
377	0.1007941238
378	0.1007723503
379	0.1007464835
380	0.1007358326
381	0.1007243563
382	0.1007123262
383	0.1006936267
384	0.1006812411
385	0.1006625297
386	0.1006477359
387	0.1006264012
388	0.100606232
389	0.1005713749
390	0.1005602301
391	0.100549971
392	0.1005391767
393	0.1005370688
394	0.1005275135
395	0.1004993876
396	0.1004406784
397	0.1004379447
398	0.1004220495
399	0.1004093712
400	0.10039911
401	0.1003851496
402	0.1003684503
403	0.1003497375
404	0.100337928
405	0.1003253125
406	0.1003156295
407	0.1002884856
408	0.1002796134
409	0.1002535085
410	0.1002382447
411	0.1002244621
412	0.1002124579
413	0.1001908848
414	0.1001724494
415	0.1001571835
416	0.1001441403
417	0.1001297067
418	0.100115273
419	0.1000989488
420	0.1000851856
421	0.1000333488
422	0.1000268265
423	0.1000052683
424	0.09999234717
425	0.09997053496
426	0.09996515252
427	0.09995930579
428	0.09994762666
429	0.09993691786
430	0.09992771726
431	0.0999131551
432	0.09990615493
433	0.09989171995
434	0.09987063912
435	0.0998158363
436	0.09980820347
437	0.09979275252
438	0.09977594047
439	0.09976319568
440	0.09974762206
441	0.09973411396
442	0.09972171924
443	0.09971258438
444	0.09970327844
445	0.09969839012
446	0.09969642509
447	0.09968019532
448	0.09966576166
449	0.0996533505
450	0.09964426512
451	0.09963757254
452	0.09963326643
453	0.09962569254
454	0.09962298004
455	0.09961668849
456	0.09960905787
457	0.09960113327
458	0.09959195499
459	0.09957497454
460	0.09956320059
461	0.09954641834
462	0.09953610531
463	0.09952106183
464	0.09951271181
465	0.09950905722
466	0.09950364314
467	0.09949870995
468	0.09948609434
469	0.09947431054
470	0.09946072664
471	0.09944700906
472	0.09942513596
473	0.09941107977
474	0.09940734479
475	0.09939906776
476	0.09938659006
477	0.09938135634
478	0.09937417211
479	0.09936306718
480	0.0993546888
481	0.09935039889
482	0.09934368989
483	0.09933234548
484	0.09931619032
485	0.09930513752
486	0.09929046923
487	0.09922063491
488	0.09921287337
489	0.09919849992
490	0.09919309974
491	0.09918680063
492	0.09917435896
493	0.09917239788
494	0.09917068715
495	0.09916218558
496	0.0991463992
497	0.09910905884
498	0.0991013116
499	0.09908829115
500	0.09906959841
501	0.09906010688
502	0.09905094997
503	0.09903698144
504	0.0990353636
505	0.0990287123
506	0.09901376408
507	0.09899272075
508	0.09898249523
509	0.09896466533
510	0.09895651309
511	0.0989461874
512	0.09892776625
513	0.09891801021
514	0.09891255694
515	0.09890545513
516	0.09890321579
517	0.09889072283
518	0.09888673835
519	0.0988774094
520	0.09887424078
521	0.09868623376
522	0.09867721403
523	0.09866009084
524	0.09864618887
525	0.09864051224
526	0.09863577022
527	0.09862077408
528	0.09861584457
529	0.09860157448
