iter	Passed	Remaining
403	9201	13573
404	9227	13555
405	9250	13533
406	9273	13510
407	9294	13486
408	9316	13462
409	9337	13437
410	9359	13412
411	9383	13392
412	9407	13370
413	9431	13349
414	9456	13330
415	9475	13301
416	9496	13276
417	9517	13251
418	9538	13227
419	9563	13206
420	9586	13183
421	9618	13174
422	9637	13145
423	9659	13122
424	9690	13111
425	9723	13100
426	9741	13071
427	9766	13052
428	9792	13033
429	9817	13014
430	9846	12998
431	9876	12986
432	9901	12965
433	9925	12944
434	9953	12928
435	9985	12917
436	10013	12901
437	10036	12877
438	10067	12864
439	10091	12843
440	10119	12826
441	10140	12802
442	10166	12782
443	10190	12761
444	10211	12736
445	10235	12714
446	10251	12683
447	10280	12666
448	10305	12647
449	10341	12640
450	10363	12615
451	10389	12596
452	10405	12564
453	10432	12546
454	10460	12530
455	10485	12508
456	10505	12482
457	10530	12462
458	10555	12441
459	10577	12417
460	10599	12392
461	10624	12371
462	10647	12348
463	10668	12324
464	10692	12301
465	10709	12272
466	10725	12241
467	10740	12209
468	10762	12185
469	10783	12160
470	10811	12142
471	10833	12119
472	10854	12093
473	10881	12075
474	10906	12054
475	10931	12033
476	10954	12011
477	10978	11988
478	11003	11967
479	11026	11945
480	11051	11924
481	11074	11901
482	11092	11873
483	11118	11853
484	11137	11826
485	11160	11803
486	11185	11782
487	11217	11769
488	11238	11744
489	11265	11725
490	11287	11701
491	11307	11675
492	11333	11654
493	11362	11638
494	11394	11624
495	11414	11598
496	11437	11575
497	11467	11559
498	11492	11538
499	11510	11510
500	11532	11486
501	11554	11462
502	11573	11435
503	11596	11412
504	11624	11394
505	11646	11370
506	11671	11349
507	11690	11322
508	11712	11298
509	11736	11276
510	11758	11252
511	11782	11230
512	11805	11206
513	11828	11183
514	11849	11159
515	11865	11129
516	11887	11106
517	11906	11078
518	11925	11052
519	11947	11028
520	11968	11004
521	11995	10984
522	12023	10965
523	12046	10942
524	12069	10919
525	12094	10899
526	12118	10876
527	12147	10858
528	12167	10833
529	12191	10811
530	12210	10784
531	12238	10766
532	12261	10742
533	12282	10718
534	12303	10693
535	12333	10676
536	12352	10650
537	12374	10626
538	12405	10610
539	12430	10588
540	12453	10565
541	12477	10543
542	12496	10517
543	12518	10493
544	12540	10469
545	12564	10447
546	12588	10425
547	12612	10403
548	12644	10387
549	12667	10364
550	12688	10339
551	12715	10319
552	12743	10300
553	12766	10278
554	12791	10256
555	12821	10238
556	12844	10215
557	12869	10194
558	12900	10177
559	12919	10150
560	12940	10126
561	12963	10103
562	12987	10080
563	13012	10059
564	13036	10036
565	13059	10014
566	13081	9989
567	13098	9962
568	13123	9940
569	13145	9916
570	13168	9893
571	13180	9862
572	13199	9836
573	13223	9813
574	13247	9791
575	13263	9763
576	13297	9748
577	13325	9728
578	13355	9711
579	13385	9693
580	13415	9675
581	13447	9658
582	13480	9642
583	13505	9620
584	13535	9601
585	13572	9588
586	13603	9571
587	13633	9552
588	13665	9535
589	13700	9520
590	13726	9499
591	13753	9478
592	13780	9457
593	13818	9445
594	13849	9427
595	13872	9403
596	13906	9387
597	13936	9368
598	13967	9350
599	13988	9325
600	14016	9305
601	14040	9282
602	14068	9262
603	14095	9241
604	14129	9225
605	14168	9211
606	14210	9200
607	14228	9173
608	14255	9152
609	14282	9131
610	14309	9110
611	14333	9087
612	14357	9064
613	14378	9038
614	14403	9017
615	14430	8995
616	14457	8974
617	14485	8954
618	14511	8932
619	14544	8914
620	14580	8898
621	14606	8876
622	14631	8854
623	14652	8828
624	14676	8805
625	14700	8782
626	14728	8761
627	14754	8740
628	14781	8718
629	14806	8695
630	14831	8673
631	14858	8652
632	14883	8629
633	14905	8604
634	14924	8578
635	14945	8553
636	14966	8528
637	14987	8504
638	15009	8479
639	15035	8457
640	15058	8433
641	15080	8409
642	15102	8385
643	15128	8362
644	15147	8337
645	15173	8314
646	15198	8292
647	15221	8268
648	15254	8249
649	15276	8225
650	15299	8201
651	15319	8176
652	15343	8153
653	15370	8131
654	15396	8109
655	15429	8091
656	15460	8071
657	15489	8050
658	15521	8031
659	15548	8009
660	15571	7985
661	15597	7963
662	15624	7941
663	15646	7917
664	15669	7893
665	15681	7864
666	15707	7841
667	15727	7816
668	15751	7793
669	15779	7771
670	15810	7752
671	15836	7729
672	15862	7707
673	15886	7683
674	15905	7658
675	15930	7635
676	15956	7613
677	15974	7586
678	15998	7563
679	16023	7540
680	16040	7513
681	16060	7488
682	16085	7465
683	16108	7442
684	16139	7421
685	16170	7401
686	16192	7377
687	16216	7354
688	16245	7332
689	16255	7303
690	16266	7273
691	16278	7245
692	16302	7222
693	16317	7194
694	16341	7171
695	16359	7145
696	16402	7130
697	16429	7108
698	16455	7085
699	16465	7056
700	16488	7033
701	16523	7014
702	16543	6989
703	16565	6965
704	16583	6939
705	16614	6918
706	16641	6896
707	16654	6868
708	16684	6848
709	16705	6823
710	16728	6799
711	16750	6775
712	16771	6751
713	16790	6725
714	16812	6701
715	16838	6678
716	16860	6654
717	16875	6627
718	16887	6599
719	16913	6577
720	16941	6555
721	16963	6531
722	16994	6511
723	17026	6490
724	17057	6469
725	17077	6445
726	17097	6420
727	17122	6397
728	17144	6373
729	17171	6351
730	17207	6332
731	17243	6313
732	17271	6291
733	17295	6267
734	17329	6248
735	17340	6219
736	17355	6193
737	17378	6169
738	17401	6145
739	17421	6121
740	17442	6096
741	17466	6073
742	17480	6046
743	17504	6022
744	17530	6000
745	17555	5977
746	17584	5955
747	17608	5932
748	17630	5908
749	17654	5884
750	17678	5861
751	17694	5835
752	17716	5811
753	17726	5783
754	17751	5760
755	17782	5739
756	17803	5714
757	17824	5690
758	17843	5665
759	17856	5638
760	17879	5615
761	17901	5591
762	17926	5568
763	17948	5544
764	17971	5520
765	17994	5496
766	18018	5473
767	18042	5450
768	18059	5424
769	18083	5401
770	18107	5378
771	18136	5356
772	18163	5333
773	18192	5311
774	18224	5291
775	18245	5266
776	18281	5246
777	18312	5225
778	18327	5199
779	18344	5174
780	18369	5151
781	18392	5127
782	18411	5102
783	18434	5078
784	18464	5057
785	18484	5032
786	18507	5008
787	18531	4985
788	18559	4963
789	18578	4938
790	18602	4915
791	18627	4892
792	18653	4869
793	18674	4844
794	18704	4823
795	18728	4799
796	18750	4775
797	18788	4755
798	18800	4729
799	18824	4706
800	18849	4683
801	18870	4658
802	18889	4634
803	18912	4610
804	18933	4586
805	18949	4561
806	18974	4537
807	19007	4516
808	19032	4493
809	19055	4469
810	19071	4444
811	19099	4422
812	19112	4396
813	19136	4372
814	19160	4349
815	19182	4325
816	19214	4303
817	19250	4283
818	19270	4258
819	19291	4234
820	19313	4210
821	19333	4186
822	19358	4163
823	19382	4140
824	19409	4117
825	19432	4093
826	19459	4070
827	19486	4047
828	19512	4024
829	19528	3999
830	19549	3975
831	19574	3952
832	19600	3929
833	19625	3906
834	19647	3882
835	19667	3858
836	19691	3834
837	19716	3811
838	19748	3789
839	19775	3766
840	19801	3743
841	19822	3719
842	19836	3694
843	19856	3670
844	19866	3644
845	19891	3621
846	19911	3596
847	19936	3573
848	19958	3549
849	19976	3525
850	19997	3501
851	20014	3476
852	20040	3453
853	20065	3430
854	20088	3406
855	20114	3383
856	20134	3359
857	20157	3336
858	20182	3312
859	20198	3288
860	20224	3264
861	20237	3239
862	20262	3216
863	20280	3192
864	20301	3168
865	20322	3144
866	20345	3121
867	20376	3098
868	20399	3075
869	20420	3051
870	20442	3027
871	20455	3002
872	20477	2979
873	20491	2954
874	20515	2930
875	20537	2907
876	20561	2883
877	20587	2860
878	20615	2837
879	20639	2814
880	20669	2791
881	20703	2769
882	20722	2745
883	20756	2723
884	20788	2701
885	20823	2679
886	20850	2656
887	20877	2633
888	20899	2609
889	20920	2585
890	20944	2562
891	20966	2538
892	20991	2515
893	21015	2491
894	21044	2468
895	21066	2445
896	21096	2422
897	21124	2399
898	21144	2375
899	21171	2352
900	21194	2328
901	21218	2305
902	21241	2281
903	21272	2258
904	21295	2235
905	21323	2212
906	21350	2189
907	21375	2165
908	21404	2142
909	21434	2119
910	21455	2096
911	21481	2072
912	21513	2050
913	21542	2026
914	21568	2003
915	21590	1979
916	21617	1956
917	21638	1932
918	21657	1908
919	21680	1885
920	21706	1861
921	21731	1838
922	21748	1814
923	21772	1790
924	21789	1766
925	21811	1743
926	21836	1719
927	21866	1696
928	21897	1673
929	21926	1650
930	21961	1627
931	21983	1603
932	22003	1580
933	22015	1555
934	22043	1532
935	22068	1508
936	22093	1485
937	22119	1462
938	22145	1438
939	22176	1415
940	22206	1392
941	22231	1368
942	22246	1344
943	22258	1320
944	22281	1296
945	22298	1272
946	22322	1249
947	22339	1225
948	22363	1201
949	22386	1178
950	22418	1155
951	22436	1131
952	22455	1107
953	22467	1083
954	22480	1059
955	22501	1035
956	22513	1011
957	22538	988
958	22550	964
959	22582	940
960	22611	917
961	22628	893
962	22640	869
963	22656	846
964	22694	823
965	22716	799
966	22744	776
967	22767	752
968	22788	729
969	22811	705
970	22832	681
971	22849	658
972	22875	634
973	22898	611
974	22930	587
975	22955	564
976	22980	540
977	23013	517
978	23049	494
979	23070	470
980	23101	447
981	23118	423
982	23136	400
983	23156	376
984	23170	352
985	23179	329
986	23208	305
987	23231	282
988	23257	258
989	23282	235
990	23310	211
991	23337	188
992	23368	164
993	23391	141
994	23422	117
995	23455	94
996	23489	70
997	23517	47
998	23542	23
999	23570	0
